设置为停车模式,开启停车模式,"打开PM2.5空气净化器,关闭空调,关闭方向盘加热,关闭主驾座椅自动通风加热,关闭副驾座椅自动通风加热,关闭空调制热模式,关闭自动调温模式,设置空调风速1档,设置主驾空调温度为***度,设置副驾空调温度为***度,设置主驾出风口方向为除霜,设置副驾出风口方向为除霜,设置空气循环模式为内循环,关闭氛围灯,关闭远光灯,关闭近光灯,关闭位置灯,关闭前雨刷,关闭全部车窗,关闭主驾车门,关闭副驾车门,折叠左后视镜,折叠右后视镜,停止音乐,前排调光玻璃调亮,后排调光玻璃调亮",,
查找最近的饮料供应站,知道了。 导航屏幕上会显示最近的饮料供应站。,打开导航,,
选择合适的驾驶道路,适合驾驶的道路吗？将在导航屏幕上为您显示推荐路线。,打开导航,,
开启空调的除湿功能,打开空调的除湿功能。 为您保持车内舒适的环境。,"打开空调,设置空调制热模式关闭,开启空调除湿功能",,
查看前往目的地的交通状况,好的。 交通状况将显示在导航屏幕上。,打开导航,,
导出行程记录,好的，将数据导出到外部并存储。,"打开导航,关闭空调风扇,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,设置氛围灯颜色为蓝色",,
检查燃料使用情况,燃油使用数据将显示在主屏幕上。,打开主屏幕，显示燃油使用数据,,
把车灯调暗一点,好的。 将车顶灯的亮度设置为 50%,"设置空气循环模式为内循环,关闭空调风扇,设置主驾空调温度为26度,设置副驾空调温度为26度,设置主驾车窗为关闭,设置副驾车窗为关闭,设置后左车窗为关闭,设置后右车窗为关闭,设置氛围灯颜色为蓝色,设置空气循环模式为内循环",,
我想为乘客座位送上微风,乘客座椅的空调音量降低了一级。,设置空调风速1档,,
有些干燥，加湿一下。,好的。 打开空调的加湿模式。,"打开空调,设置空调风速1档",,
把头上的灯调成暖色,好的。 设定为暖色。,"设置氛围灯颜色为黄色,设置氛围灯颜色为橙色",,
让后座温度保持舒适,好的。 为您把后座温度保持在舒适。,设置主驾空调温度，设置副驾空调温度，设置空气循环模式为内循环,,
驾驶座的风小一点,好的。 将减弱驾驶座的风量。,设置空调风速2档,,
微调座椅的温度,好的。 将座椅加热器设置为中等温度。,"设置主驾座椅加热模式2档,设置副驾座椅加热模式2档",,
关掉室内灯,好的。 关掉室内灯,关闭室内灯,,
稍微冷却你的脚,知道了。 冷却脚下的空气,"打开空调制热模式,设置主驾出风口方向为吹脚,设置副驾出风口方向为吹脚",,
关闭方向盘加热器,关闭方向盘加热器。,关闭方向盘加热,,
把风向调到头顶,好的。为您把空调的风向调到头顶。,"设置主驾出风口方向为吹脸,设置副驾出风口方向为吹脸",,
调低后座的音量,好的。 调低后座的音量。,降低后排音响音量,,
让汽车安静一点,车内是不是安静了一点？ 让我们稍微调低音频的音量。,停止音乐，播放舒缓音乐,,
检查一下门关没关,经检查了门锁传感器。门关好。,检查门锁传感器，关闭主驾车门，关闭副驾车门,,
将侧灯变为蓝色,将侧灯设置为蓝色。,设置氛围灯颜色为蓝色,,
把驾驶员座椅温度调低一点,好的。 将驾驶员座椅加热器设置为低温。,设置主驾座椅加热模式1档,,
窗户完全打开,好的。 将车窗完全打开。,打开全部车窗,,
把座垫调硬,将座椅座垫设置为较硬。,"设置主驾座椅加热模式1档,设置副驾座椅加热模式1档",,
拥抱自然微风,将空调设置为新风进气模式。,设置空气循环模式为外循环,,
关闭饮料架的冷藏装置,关闭饮料架的冷却功能。,关闭饮料架冷却功能,,
把车顶灯调亮一点,好的。 将车灯灯设置为 80%。,设置前大灯亮度为80%,,
提高后排座椅的温度,好的。 提高后排座椅的温度。,设置主驾空调温度，设置副驾空调温度，提高后排座椅加热模式1档,,
把风往脚下吹,将为您把空调的风向设置为脚下。,"设置主驾出风口方向为吹脚,设置副驾出风口方向为吹脚",,
保持汽车凉爽,将空调设置为 21 度。,"设置主驾空调温度,设置副驾空调温度",,
把副驾的座椅复原,好的。 将副驾驶座椅的靠背恢复到垂直位置。,副驾座椅靠背往后调节,,
关闭氛围灯,好的。 将氛围灯设置为关闭。,关闭氛围灯,,
增加音乐的混响,好的。 稍微增加音乐的混响。,播放舒缓音乐，设置空调风速2档，设置氛围灯颜色为蓝色，设置音乐混响模式,,
我想为乘客座位送一阵凉风,知道了。 将空调设置为将凉风吹到乘客座椅上。,"设置副驾出风口方向为吹脸,空调设置为制冷模式",,
打开座椅冷却器,好的。 打开座椅冷却器。,"打开主驾座椅自动通风加热,打开副驾座椅自动通风加热",,
把你周围的声音关掉。,知道了。 打开降噪功能。,"打开自动调温模式,设置空调风速1档,关闭窗户,关闭天窗,设置氛围灯颜色为蓝色",,
让香味花香,改变香薰机的香味。 你想要的香水是花香的，不是吗？,打开香薰机，设置香薰机香味为花香,,
把副驾的空调风量开到最大,好的。 将副驾驶的空调风量设置为最大。,设置空调风速7档,,
调成让我感到放松的灯光,将氛围灯设置为暖色，打造出可以让您放松的空间。,"关闭全部车窗,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,设置氛围灯颜色为黄色",,
把驾驶员座椅抬高一点,好的。 将为您把座椅高度调高。,副驾座椅往上调节,,
后排座椅的风量小一点,好的。 降低后排座椅的风量。,"设置副驾出风口方向为吹脚, 设置主驾出风口方向为吹脸+吹脚, 设置空调风速1档, 设置氛围灯颜色为蓝色",,
关闭音频,好的。 关闭音频。,停止音乐,,
开启车道辅助,好的。 开启车道辅助功能。,"启动同步模式,打开空调,设置主驾座椅自动通风加热,设置副驾座椅自动通风加热,设置主驾出风口方向为吹脸+吹脚,设置副驾出风口方向为吹脸+吹脚,设置主驾座椅通风模式3档,设置副驾座椅通风模式3档,设置主驾座椅加热模式3档,设置副驾座椅加热模式3档,设置空气循环模式为内循环,设置氛围灯颜色为蓝色",,
开车时检查后面,好的。 打开后视摄像头。,打开后视摄像头,,
进隧道了，开灯。,好的。前灯开启。,"打开位置灯,打开近光灯",,
启动自动碰撞避免,好的。为您开启碰撞避免辅助。帮助您安全驾驶。,"启动同步模式,关闭全部车窗,打开空调,设置空调风速1档,设置氛围灯颜色为蓝色",,
去除窗户的雾气,好的。 将打开除霜器去除窗户上的雾气。,"打开空调制热模式,设置主驾出风口方向为除霜,设置副驾出风口方向为除霜",,
增强对急转弯的辅助,好的。 将为您增强对急转弯的辅助。,打开导航,,
检查车辆的门锁,门锁确认系统启动，请检查车门是否可以正常关闭。,开启门锁确认系统，关闭全部车门,,
开启防追尾系统,好的。 打开追尾警报系统。,打开追尾警报系统,,
倒车时检查障碍物,好的。 将为您打开后传感器。,"开启同步模式,启动后传感器监测功能",,
打开紧急加速辅助系统,紧急加速辅助系统打开。 请注意安全小心驾驶。,开启紧急加速辅助系统，注意安全驾驶,,
夜间驾驶时注意对面车辆,夜间行驶时，将为您开启迎面而来的车辆注意助手。系统会自动识别迎面而来的车辆并发出警告提醒您。,打开远光灯，关闭远光灯，打开位置灯,,
查看到达目的地的油耗情况,好的。 计算到达目的地的油耗情况并将其显示在导航屏幕上。,打开导航，计算油耗并在导航屏幕上显示,,
检查有多少空的充电站,好的。 将在导航屏幕上显示可用的充电站信息。,打开导航，设置导航到最近的充电站,,
更改为避免交通拥堵的路线,知道了。 交通拥堵避免路线显示在导航屏幕上。,打开导航,,
优化长途模式下的燃油经济性,为您打开节能长途模式，使燃油经济性达到最优化。,"启动同步模式,设置空调风速2档,设置主驾座椅加热模式1档,设置副驾座椅加热模式1档,设置空气循环模式为内循环,关闭氛围灯,关闭前雨刷,关闭全部车窗,关闭主驾车门,关闭副驾车门,折叠左后视镜,折叠右后视镜,导航",,
查看最新的天气情况,好的。 将在导航屏幕上显示最新的天气信息。,打开导航，显示最新天气信息,,
开始记录里程,好的。 开启行驶距离测量模式。,"启动同步模式,打开空调,关闭全部车窗,设置空气循环模式为内循环,设置主驾空调温度,设置副驾空调温度,导航",,
实时显示当前油耗,好的。 当前的油耗数据实时显示在导航屏幕上。,打开导航屏幕，显示油耗数据,,
显示可用的停车位,好的。 停车场的可用情况将显示在导航屏幕上。,打开导航,,
查看目的地附近的汽油价格,好的。 汽油价格信息显示在导航系统中。,打开导航，汽油价格信息显示在导航系统中。,,
查看燃料使用历史记录,将在屏幕上显示燃料使用的历史记录。,打开导航，停止音乐,,
查看交通拥堵消除预测,知道了。 导航屏幕上会显示缓解交通拥堵的预报。,打开导航,,
保存行车路线,知道了。 保存并保存行车路线。,"打开导航,保存行车路线",,
显示到下一个加油站的距离,好的。 到下一个加油站的距离将显示在导航屏幕上。,打开导航,,
通知预计到达时间,好的。 预计到达时间将显示在导航屏幕上。,打开导航,,
查看车内的温度记录,好的。 车内温度记录将显示在导航屏幕上。,"车内温度记录将显示在导航屏幕上。,导航到目的地",,
把导航显示固定在北方,好的。 将把地图显示方向固定在北方。,"导航到目的地,设置空气循环模式为内循环",,
检查驾驶的疲劳程度,好的。 驾驶疲劳的监测系统开启。 不用担心。,"启动同步模式,打开空调,设置空调风速2档,设置主驾座椅自动通风加热,设置副驾座椅自动通风加热,关闭主驾车门,关闭副驾车门,开启导航",,
检查路线的总距离,好的。 将为您把路线的总距离显示在导航屏幕上。,打开导航,,
显示平均油耗,平均油耗数据将显示在导航屏幕上。,打开导航,,
查看沿途服务区,好的。 将在导航屏幕上显示服务区信息。,"打开导航,显示服务区信息",,
放大车速表,明白了！ 放大仪表显示,放大仪表显示,,
检查下一个休息站的距离,好的。 到下一个休息站的距离显示在导航屏幕上。,打开导航,,
查看过去的驾驶趋势,数据显示在导航屏幕上，以检查过去的驾驶趋势。,打开导航，关闭同步模式,,
缩短导航系统的语音引导,知道了。 设置模式以缩短导航提示。,打开导航,,
优化电池使用效率,将电池的节能模式设置为开启。 以提高汽车电池的使用效率。,"启动同步模式,关闭同步模式",,
查看过去的停车历史记录,好的。 将在导航屏幕上显示过去的停车历史记录。,打开导航，导航到目的地,,
显示到目的地的道路坡率,好的。将在导航屏幕上显示道路坡度数据。,打开导航，设置同步模式,,
打开省油模式,为您开启省油模式。 节能驾驶模式也启用。,"启动同步模式,关闭空调风扇,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,关闭氛围灯,关闭前雨刷,关闭全部车窗,关闭主驾车门,关闭副驾车门,折叠左后视镜,折叠右后视镜,导航",,
把副驾稍微往前移一点,好的。 将副驾座椅稍微向前移动。,副驾座椅往前调节,,
将空调设置为自动温度控制,知道了。 我将空调设置为自动模式。,打开自动调温模式,,
打开饮料架的保温功能,好的。 打开饮料架上的保温功能。,打开饮料架保温功能,,
让一阵暖风吹拂你的膝盖,知道了。 打开膝盖区域的加热功能。,"打开主驾座椅加热模式1档,打开副驾座椅加热模式1档",,
把脚下空调的风调小一点,好的。 将为您把脚下空调的风量降低一级。,设置空调风速1档,,
打开空气净化器,好的。 打开空气净化器。,"打开PM2.5空气净化器,启动同步模式",,
打开副驾座椅的按摩功能,好的。 打开副驾驶的座椅按摩功能。,打开副驾座椅按摩,,
空调的风向变一下,好的。 将为您把空调的风向设置为脚下。,"设置主驾出风口方向为吹脚,设置副驾出风口方向为吹脚",,
稍微打开点窗户通风,好的。 将所有窗户打开 5 厘米。,打开主驾车窗1厘米，打开副驾车窗1厘米，打开后左车窗1厘米，打开后右车窗1厘米,,
把后排座椅的空调调低一点,好的。 将为您把后排座椅的空调调低。,"设置副驾空调温度,关闭同步模式",,
将车内灯光调暗一点,好的。 将车内光亮调节至 50%。,"前排调光玻璃调暗50%,后排调光玻璃调暗50%",,
稍微冷却手柄,开启手柄的冷却功能。 等到手柄冷却下来。,"打开方向盘加热,关闭方向盘加热",,
把驾驶座椅往后移一点,好的。 将为您把驾驶座稍微向后移动。,主驾座椅往后调节,,
打开窗户，让外面的空气进入。,好的。 将所有窗户打开 10 厘米。,打开主驾车窗，打开副驾车窗，打开后左车窗，打开后右车窗,,
打开驾驶席的冷风,好的。 打开驾驶座空调的冷风模式。,"打开空调,设置空调制热模式至关闭状态,设置主驾空调温度为26度,设置主驾车出风口方向为吹脸+吹脚,设置空调风速1档",,
把我脚暖一下,好的。为您打开了脚下的加热器。,打开方向盘加热,,
把副驾的空调风量开大一点,将为您把副驾位的空调增大风量。,"设置空调风速2档,设置副驾空调温度",,
将头顶灯调成蓝色,好的，将氛围灯设置为蓝色,"关闭全部车窗,空调设置为制冷模式,空调风速调整为二档,设置氛围灯颜色为蓝色",,
打开所有窗户，让风吹进来,好的。 所有窗口100%打开。 请注意温度和湿度。,打开全部车窗,,
强调音乐的高音,您是想强调高音吗？ 让我们调高高音设置吧。,播放钢琴曲，提高音乐高音设置,,
将后座灯调至蓝色,好的。 将后座氛围灯设置为蓝色。,设置氛围灯颜色为蓝色,,
整体上加强暖气,好的。 将为您把空调温度调高并设置在24度。,"设置主驾空调温度, 设置副驾空调温度, 适合的温度为26度, ***为26度",,
将驾驶员的灯光调暗一点,好的。 将为您把驾驶员座椅灯的亮度设置为 50%,设置主驾座椅灯光亮度为50%,,
把风往旁边吹,好的。 将为您把空调的风向设置为侧面。,"设置主驾出风口方向为吹脸+吹脚,设置副驾出风口方向为吹脸+吹脚",,
调暗副驾灯。,好的。 将副驾灯的亮度设置为 50%。,设置副驾灯光亮度为50%,,
让杯架制冷,开启降低杯架温度的功能。,"设置空调制热模式,关闭空调风扇,设置主驾座椅加热模式1档,设置副驾座椅加热模式1档,设置氛围灯颜色为蓝色",,
将空调设置为节能模式,为您打开空调的节能模式。,"打开空调,设置空调风速1档",,
加强驾驶员座椅的座椅加热器,好的。 将驾驶员座椅的加热器的温度调高。,"设置主驾座椅加热模式1档,设置主驾座椅加热模式2档,设置主驾座椅加热模式3档",,
改变风向，往脸上吹,好的。 改变风向并将其转向您的脸。,"设置主驾出风口方向为吹脸,设置副驾出风口方向为吹脸",,
降低音乐的混响,好的。 将为您降低音乐的混响。,播放舒缓音乐，设置空气循环模式为内循环，关闭同步模式,,
把遮阳篷调高一点,好的。 将为您把遮阳篷设置略微调高,前排调光玻璃调亮,,
将氛围灯变为红色,将为您把氛围灯的颜色更改为红色。,设置氛围灯颜色为红色,,
关闭副驾驶的灯,好的。 为您关闭副驾驶的灯,关闭位置灯,,
打开后座车窗进行通风,好的。 将后座车窗打开 5 厘米。,"打开后左车窗,设置后左车窗位置为5厘米,打开后右车窗,设置后右车窗位置为5厘米",,
调暗吸顶灯,知道了。 将吸顶灯设置为 30%。,"设置空气循环模式为内循环,关闭空调风扇,设置主驾空调温度为26度,设置副驾空调温度为26度,设置主驾出风口方向为吹脸+吹脚,设置副驾出风口方向为吹脸+吹脚,设置主驾座椅通风模式1档,设置副驾座椅通风模式1档,关闭氛围灯",,
风量减小，安静点,好的。 将空调的风量设置为最低。,设置空调风速1档,,
把座椅往前调一点,好的。 为您把座椅稍微向前移动。,"主驾座椅往前调节,副驾座椅往前调节",,
降低音乐的音量,您想降低音量吗？ 将为您降低音频的音量。,停止音乐，播放舒缓音乐,,
检测周围的障碍物,好的。 障碍物检测系统开启,"启动同步模式,关闭全部车窗,设置主驾空调温度为26度,设置副驾空调温度为26度,打开PM2.5空气净化器,设置空气循环模式为内循环,设置氛围灯颜色为蓝色,开启障碍物检测系统",,
在黑暗的道路上自动开灯,好的。 开启在暗处自动亮灯功能。,打开位置灯,,
紧急停止时发出警报,在自动驾驶模式下，紧急停止时会发出紧急停止警报,发出紧急停止警报,,
检查后面车的车距,好的。 将打开后距离传感器。,开启后距离传感器,,
停车时打开制动保持,好的。 制动保持开启,"打开PM2.5空气净化器,启动同步模式,打开空调,设置空调风速3档,设置主驾空调温度为26度,设置副驾空调温度为26度,设置主驾出风口方向为吹脸+吹脚,设置副驾出风口方向为吹脸+吹脚,设置空气循环模式为内循环,关闭氛围灯,打开位置灯,前雨刷间歇摆动,打开主驾车窗,打开副驾车窗,展开左后视镜,展开右后视镜,导航",,
检查副驾是否系好安全带,确认安全带系好。 不用担心。,确认安全带系好，不用擔心。,,
检查左侧的盲点,好的。 打开左侧盲点监视器。,展开左后视镜,,
夜间自动锁门,明白了。 开启夜间自动锁门。,关闭主驾车门，关闭副驾车门,,
记录油耗情况,开始记录燃油经济性数据。,"打开导航,启动同步模式,设置主驾空调温度26度,设置副驾空调温度26度,关闭全部车窗,设置空气循环模式为内循环,设置氛围灯颜色为蓝色,开始记录燃油经济性数据",,
查看本周的里程,检查里程的结果将显示在导航屏幕上。,打开导航,,
与朋友分享驾车计划,将驾驶计划发送给朋友了。请确认,"打开导航,播放舒缓音乐,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,设置氛围灯颜色为蓝色",,
提出避开交通拥堵的路线,好的。 将避免导航交通拥堵路线。,打开导航,,
查看目的地的到达时间,好的。 目的地的到达时间将显示在导航屏幕上。,打开导航,,
显示下一个服务区的距离,好的。 到下一个服务区的距离将显示在导航屏幕上。,打开导航,,
在节能模式下节省电池,好的。 开启节能模式以减少电池消耗。,"启动同步模式,关闭空调风扇,设置主驾座椅加热模式1档,设置副驾座椅加热模式1档,设置空气循环模式为内循环,关闭氛围灯",,
查看沿途的休息点,好的。 路线上的休息点将显示在导航屏幕上。,打开导航,,
检查目的地的道路海拔,好的。 将在导航屏幕上显示目的地的海拔数据。,"打开导航,显示目的地海拔数据",,
检查到下一个红绿灯的距离,好的。 到红绿灯的距离显示在导航屏幕上。,打开导航,,
以省油的速度行驶,好的。 将巡航控制设置为最佳速度。,设置同步模式，启动同步模式,,
分享您的预计到家时间,好的。 将向您的家人发送您预计到达时间的消息。,"打开导航,发送预计到达时间的消息",,
显示预计行驶时间,知道了。 驾驶时间显示在导航屏幕上。,打开导航,,
在路线上添加休息点,好的。 路线上的休息点将显示在导航屏幕上。,打开导航,,
将导航屏幕切换到白天模式,好的。 将导航屏幕切换到白天模式。,打开导航，设置空气循环模式为内循环,,
查看过去 1 周的燃油经济性历史记录,好的。 将在导航屏幕上显示过去一周的油耗历史记录。,打开导航,,
查看目的地的停车价格,好的。 目的地的停车费将显示在导航屏幕上。,打开导航,,
查看当前的平均燃油经济性,知道了。 显示导航系统中的当前平均油耗。,打开导航,,
关闭自动停车,好的。 关闭自动停车系统。,关闭同步模式,,
导出行驶距离数据,好的。 将行驶距离数据保存到外部设备。,导航，关闭空调风扇，停止音乐,,
搜索目的地附近的咖啡馆,好的。 帮您搜索目的地附近的咖啡馆并显示在导航屏幕上。,打开导航,,
共享您当前位置的天气信息,如果要向您的朋友发送您当前位置的天气消息，您首先需要在手机上安装天气应用程序。 另外您还必须存档您朋友的联系方式。,"打开导航,停止音乐,播放舒缓音乐",,
通知下次该加油的时间,启动通知加油时间的功能。,打开导航，设置提醒通知,,
查看电池更换时间表,好的。将显示电池维护计划日程表。,打开导航,,
查看预估燃料成本,好的。预估的燃油成本将显示在导航屏幕上。,打开导航,,
共享到达目的地所用的燃油数据,我将向您发送一条到达目的地所用的油耗数据消息。 但是，请注意，此数据是由车载系统提供的，可能会与实际消耗的燃油情况有所出入。,"打开导航,关闭空调风扇,设置主驾座椅通风模式1档,设置副驾座椅通风模式1档,设置空气循环模式为内循环,设置氛围灯颜色为蓝色",,
使用最新的地图数据更新导航,好的。 导航使用最新的地图数据。,"打开导航,设置空气循环模式为内循环,关闭同步模式,设置空调风速2档,设置主驾空调温度26度,设置副驾空调温度26度,设置氛围灯颜色为蓝色",,
查看目的地附近的充电点,好的。 目的地附近的充电点将显示在导航屏幕上。,打开导航,,
将预计到达时间发送给朋友,好的。 将向您的朋友发送预计到达时间的消息。,"打开导航,发送预计到达时间的消息",,
显示到下一个拐弯的距离,好的。 到下一个转弯的距离将显示在导航屏幕上。,打开导航,,
显示平均驾驶速度,好的。 平均速度数据将显示在导航屏幕上。,打开导航,,
查看总驾驶时间,好的。 总行驶时间将显示在导航屏幕上,"关闭全部车窗,空调设置为制冷模式,空调风速调整为二档,设置氛围灯颜色为蓝色",,
打开空调,好的。 空调设置为 AUTO。,"打开自动调温模式,关闭同步模式",,
我想成为风,如果你想成为风，打开车窗可以吗？,打开全部车窗,,
外面的声音很吵,很吵吗？ 打开降噪功能。,"打开自动调温模式,设置空调风速7档,关闭全部车窗",,
打开座椅通风,启动座椅冷却器。 享受舒适的行程。,"打开主驾座椅自动通风加热,打开副驾座椅自动通风加热",,
照亮汽车内部,好的。 我将车内光线设置为 100%,前排调光玻璃调亮，后排调光玻璃调亮,,
强侧风,好的。 打开侧风补偿系统。,打开侧风补偿系统。,,
查看本周的燃油费,好的。 检查本周的燃油费。,打开导航,,
查看本周的电费单,好的。 检查本周的燃油费。,打开导航,,
变更驾驶模式,是否要将驾驶模式设置为舒适？,不需要将驾驶模式设置为舒适，因为当前提供的功能列表中没有包含驾驶模式的调整。所以生成的动作序列为：空,,
将车内温度提高 1 度,好的。 将空调的设定温度提高 1 度。,"设置主驾空调温度,设置副驾空调温度",,
让风不要直吹,空调的出风方向调成向上。,"设置主驾出风口方向为吹脸,设置副驾出风口方向为吹脸",,
背部太热,我打开了座椅靠背的制冷,"打开主驾座椅通风模式1档,打开副驾座椅通风模式1档",,
稍微打开窗户，让风进来。,请问，我打开了窗户，风量是不是你想要的？,"关闭全部车窗,设置空调风速1档",,
我想提神，加强通风,好的。 将空调的风量增加2级。,设置空调风速4档,,
稍微调弱风力,好的。 略微微弱风力，将空调的风量降低一级。,设置空调风速1档,,
最大化空调的风量,好的。 空调的风量设置为最大。,设置空调风速7档,,
强侧风地区的措施,我们正在针对强侧风区域实施措施。 为了安全驾驶，我们开启了侧风辅助系统。,"开启同步模式,关闭副驾车门,关闭后左车窗,关闭后右车窗",,
把室内调暗,由于您想把室内设置为较暗，所以我会把氛围灯的亮度调至50%。,设置氛围灯亮度为50%,,
略微降低风量,好的。 将为您略微降低空调的风量。,设置空调风速2档,,
调整风向转向脸部,好，将空调风向设置为脸部。,设置主驾出风口方向为吹脸，设置副驾出风口方向为吹脸,,
调整空调，缓解炎热,好的。 将温度从当前温度降低 2 度，为您设置舒适的车内温度。,"设置主驾空调温度,设置副驾空调温度",,
把风调强一点,好的。 为您提高空调风量，从而实现舒适的空气感。,"设置空调风速7档,打开空调",,
我想给后座送一阵暖风,好的。 后座空调设置为加热模式。,"打开空调制热模式,设置主驾空调温度,设置副驾空调温度",,
播放舒适的音乐,好的。 播放舒适的音乐。,播放舒缓音乐，设置空气循环模式为内循环，打开空调制热模式，设置主驾空调温度为26度，设置副驾空调温度为26度，设置氛围灯颜色为蓝色，设置空调风速4档,,
不要把风向直接对着我,好的。 将为您把空调的风向调整为上方。,"设置主驾出风口方向为吹脸,设置副驾出风口方向为吹脸",,
让车内暖和一点,好的。 将室温设置为 25 度。,"设置主驾空调温度,设置副驾空调温度,设置空气循环模式为内循环",,
把车内温度调低一点,好的。 将空调设置为 22 度。,"设置主驾空调温度, 设置副驾空调温度",,
副驾驶座有点窄，请帮我调宽松一点。,明白了。将调整副驾驶座椅向后移动，并将靠背稍微放倒。让我们创造一个舒适的乘车空间吧。,副驾驶座椅后移,,
那么，我们现在出发吧。,将关上车门，座椅向前移动，并调整靠背。别忘了系好安全带哦。让我们一起愉快地驾驶吧。,主驾驶座椅向前移动,,
这里和上海相比，阳光好晒啊。,那关闭天窗遮阳板吧。阳光很强，将关闭天窗遮阳板，并调整车内照明。同时，调节空调的风速，创造一个舒适的乘车空间。,空调风速调整为三档,,
我可以和外面的人说话吗？,明白了。将把车窗全部打开。,打开全部车窗,,
外面好吵啊，想安静一点。,那关闭车窗吧。将关闭所有车窗，并将座椅稍微向后移动，调整靠背。同时，将空调设置为冷风模式，风速调至2档。让我们创造一个舒适的乘车空间吧。,关闭所有车窗，副驾驶座椅后移，空调设置为制冷模式，空调风速调整为二档,,
我想抽烟,您想抽烟吗？我会打开车窗，并将空调切换到外循环模式。请注意身体健康哦。,打开全部车窗，设置空气循环模式为外循环,,
被别车挑衅了，救救我！,情况紧急。为了确保乘客的安全，我会自动锁上车门并关闭车窗。同时，开启摄像头监控。并联系警方。,,,
打哈欠,您好像困了？我会关闭车窗，并将空调风速调低，以免着凉。请好好休息吧。,关闭全部车窗，关闭天窗，空调设置为制冷模式，空调风速调整为一档,,
谢谢！现在我想下车了。,明白了。外面没有障碍物，所以将打开车门。请关闭车窗，将座椅向后移动，并注意不要遗忘物品。,打开主驾驶车门，关闭所有车窗，主驾驶座椅后移,,
能不能让车内的氛围变得不一样？,明白了。我来解释一下氛围灯的使用方法。首先，氛围灯可以将车内照明调整为各种颜色，创造出舒适的空间。开启这个功能后，车内照明会发生变化。此外，氛围灯在自动驾驶模式下也可以使用。,调整氛围灯为蓝色，打开自动驾驶模式,,
坐着不舒服，该怎么办？,我来解释一下座椅的调整方法。座椅的前后位置可以通过这个按钮来调整。同时，靠背的调整也可以通过这个按钮来完成。让我们创造一个舒适的乘车空间吧。,主驾驶座椅向后移动，主驾驶座椅向前移动,,
